break_angle,min_break_mass,merge_angle,debounce_ms,jaccard_threshold,break_method,angle_map,tp,fp,fn,total_errors,precision,recall,f1,n_bounds,n_markers
65,0.75,15,100,0.625,hybrid,dissonance,93,43,23,66,68.4,80.2,73.81,136,116
25,0.75,20,100,0.625,hybrid,dissonance,95,45,21,66,67.9,81.9,74.22,140,116
25,0.75,30,100,0.625,hybrid,dissonance,95,45,21,66,67.9,81.9,74.22,140,116
35,0.75,5,100,0.625,hybrid,dissonance,95,45,21,66,67.9,81.9,74.22,140,116
35,0.75,10,100,0.625,hybrid,dissonance,95,45,21,66,67.9,81.9,74.22,140,116
35,0.75,15,100,0.625,hybrid,dissonance,95,45,21,66,67.9,81.9,74.22,140,116
35,0.75,30,100,0.75,hybrid,dissonance,96,46,20,66,67.6,82.8,74.42,142,116
45,0.75,30,100,0.75,hybrid,dissonance,96,46,20,66,67.6,82.8,74.42,142,116
55,0.75,30,100,0.75,hybrid,dissonance,96,46,20,66,67.6,82.8,74.42,142,116
65,0.75,30,100,0.75,hybrid,dissonance,96,46,20,66,67.6,82.8,74.42,142,116
35,0.75,5,100,0.25,hybrid,dissonance,76,27,40,67,73.8,65.5,69.41,103,116
35,0.75,20,100,0.25,hybrid_split,dissonance,86,37,30,67,69.9,74.1,71.97,123,116
55,0.75,30,75,0.375,hybrid,dissonance,90,41,26,67,68.7,77.6,72.87,131,116
45,0.75,10,100,0.625,hybrid,dissonance,92,43,24,67,68.1,79.3,73.31,135,116
45,0.75,15,100,0.625,hybrid,dissonance,92,43,24,67,68.1,79.3,73.31,135,116
55,0.75,10,100,0.625,hybrid,dissonance,92,43,24,67,68.1,79.3,73.31,135,116
55,0.75,15,100,0.625,hybrid,dissonance,92,43,24,67,68.1,79.3,73.31,135,116
65,0.75,10,100,0.625,hybrid,dissonance,93,44,23,67,67.9,80.2,73.52,137,116
25,0.75,25,100,0.625,hybrid,dissonance,95,46,21,67,67.4,81.9,73.93,141,116
25,0.75,30,100,0.75,hybrid,dissonance,95,46,21,67,67.4,81.9,73.93,141,116
15,0.75,20,100,0.625,hybrid,dissonance,96,47,20,67,67.1,82.8,74.13,143,116
35,0.75,20,100,0.75,hybrid,dissonance,96,47,20,67,67.1,82.8,74.13,143,116
35,0.75,25,100,0.75,hybrid,dissonance,96,47,20,67,67.1,82.8,74.13,143,116
45,0.75,20,100,0.75,hybrid,dissonance,96,47,20,67,67.1,82.8,74.13,143,116
45,0.75,25,100,0.75,hybrid,dissonance,96,47,20,67,67.1,82.8,74.13,143,116
55,0.75,20,100,0.75,hybrid,dissonance,96,47,20,67,67.1,82.8,74.13,143,116
55,0.75,25,100,0.75,hybrid,dissonance,96,47,20,67,67.1,82.8,74.13,143,116
65,0.75,20,100,0.75,hybrid,dissonance,96,47,20,67,67.1,82.8,74.13,143,116
65,0.75,25,100,0.75,hybrid,dissonance,96,47,20,67,67.1,82.8,74.13,143,116
15,0.75,5,100,0.25,hybrid_split,dissonance,97,48,19,67,66.9,83.6,74.33,145,116
55,0.75,20,75,0.5,hybrid,dissonance,101,52,15,67,66.0,87.1,75.09,153,116
65,0.75,20,75,0.5,hybrid,dissonance,101,52,15,67,66.0,87.1,75.09,153,116
65,0.75,25,10,0.5,hybrid,dissonance,102,53,14,67,65.8,87.9,75.28,155,116
65,0.75,25,10,0.5,hybrid_split,dissonance,102,53,14,67,65.8,87.9,75.28,155,116
65,0.75,25,25,0.5,hybrid,dissonance,102,53,14,67,65.8,87.9,75.28,155,116
65,0.75,25,25,0.5,hybrid_split,dissonance,102,53,14,67,65.8,87.9,75.28,155,116
